sourceKey,sourceName,sourceUrl,productName,genericName,category,sku,strengthText,dosageFormName,packSizeLabel,unitPriceTzs,currency,detailUrl,rawText,confidence,notes
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Aksone Injection Ceftriaxone Sodium 1 gm Powder For Injection,Ceftriaxone Sodium 1 gm Powder For Injection,,,,Powder for injection,,,,https://www.tmda.go.tz/uploads/1678450907-T21H0058SmPCV1.pdf,Aksone Injection Ceftriaxone Sodium 1 gm Powder For Injection Ceftriaxone Sodium 1 gm Powder For Injection,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,AKUCLAV,"Amoxicillin and Clavulanate Potassium, 1000/200 mg, Powder for solution for injection",,,200 mg,Injection,,,,https://www.tmda.go.tz/uploads/1707806528-T18H0781SmPCv1.pdf,"AKUCLAV Amoxicillin and Clavulanate Potassium, 1000/200 mg, Powder for solution for injection",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,ALCEF 500,Ceftriaxone Sodium Dry Powder for injection 500mg,,,500mg,Powder for injection,,,,https://www.tmda.go.tz/uploads/1657976130-T20H0006SmPCv1.pdf,ALCEF 500 Ceftriaxone Sodium Dry Powder for injection 500mg,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,ALCEF-SB,Ceftriaxone Sodium & Sulbactam Dry Powder for Injection 1 g+0.5 g,,,1 g + 0.5 g,Powder for injection,,,,https://www.tmda.go.tz/uploads/1657976915-T21H0143-SmPCV1.pdf,ALCEF-SB Ceftriaxone Sodium & Sulbactam Dry Powder for Injection 1 g+0.5 g,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,alcillin,"ampicillin sodium, 0.5, Injection",,,,Injection,,,,https://www.tmda.go.tz/uploads/1707810181-T18H0626SmPCV1.pdf,"alcillin ampicillin sodium, 0.5, Injection",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,ALDROL 10,"Donepezil, 10 mg, Tablets",,,10 mg,Tablets,,,,https://www.tmda.go.tz/uploads/1708927614-T20H0019SmPCv1.pdf,"ALDROL 10 Donepezil, 10 mg, Tablets",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,ALDROL 5,"Donepezil, 5 mg, Tablets",,,5 mg,Tablets,,,,https://www.tmda.go.tz/uploads/1708927489-T20H0017SmPCv1.pdf,"ALDROL 5 Donepezil, 5 mg, Tablets",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Alfuzosin 10 mg Tablets,Alfuzosin 10 mg Tablets,,,10 mg,Tablets,,,,https://www.tmda.go.tz/uploads/files/Alfuzosin_10_mg_Tablets.pdf,Alfuzosin 10 mg Tablets Alfuzosin 10 mg Tablets,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Allerieve 10,"Cetirizine hydrochloride, 10 mg, Tablets",,,10 mg,Tablets,,,,https://www.tmda.go.tz/uploads/1707826616-TZ19H0243SmPCv1.pdf,"Allerieve 10 Cetirizine hydrochloride, 10 mg, Tablets",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Alltera 50 Lopinavir + Ritonavir 50 mg Granules,Lopinavir + Ritonavir 50 mg Granules,,,50 mg,,,,,https://www.tmda.go.tz/uploads/1678167581-T20H0667SmPCv1.pdf,Alltera 50 Lopinavir + Ritonavir 50 mg Granules Lopinavir + Ritonavir 50 mg Granules,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Alphaclav Tablets Amoxicillin And Clavulanic Acid 625 mg Oral Tablet,Amoxicillin And Clavulanic Acid 625 mg Oral Tablet,,,625 mg,Tablet,,,,https://www.tmda.go.tz/uploads/1678450973-T20H0483SmPCV1.pdf,Alphaclav Tablets Amoxicillin And Clavulanic Acid 625 mg Oral Tablet Amoxicillin And Clavulanic Acid 625 mg Oral Tablet,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Alrinast,Desloratadine 5 mg film coated tablets,,,5 mg,Tablets,,,,https://www.tmda.go.tz/uploads/1620040949-T19H0563SmPCv1.pdf,Alrinast Desloratadine 5 mg film coated tablets,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,ALRINAST,"Desloratadine, 0.5, Syrup",,,,Syrup,,,,https://www.tmda.go.tz/uploads/1707825763-2_T19H0557-SmPC.pdf,"ALRINAST Desloratadine, 0.5, Syrup",SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Amcardia 10 Amlodipine Besylate 10 mg Tablets,Amlodipine Besylate 10 mg Tablets,,,10 mg,Tablets,,,,https://www.tmda.go.tz/uploads/1678167697-T18H0454SmPCv1.pdf,Amcardia 10 Amlodipine Besylate 10 mg Tablets Amlodipine Besylate 10 mg Tablets,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,Amlovie 10,Amlodopine Tablet 10mg,,,10mg,Tablet,,,,https://www.tmda.go.tz/uploads/1657977179-1_T20H144E2-Approved.pdf,Amlovie 10 Amlodopine Tablet 10mg,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
TMDA_APPROVED_PRODUCT_INFO,TMDA Approved Medicines Product Information,https://www.tmda.go.tz/index.php/pages/approved-product-information,AMLOVIE 5,Amlodopine Tablet 5mg,,,5mg,Tablet,,,,https://www.tmda.go.tz/uploads/1657976316-1_T20H143E2-Approved.pdf,AMLOVIE 5 Amlodopine Tablet 5mg,SOURCE_LISTED,"Selected TMDA SmPC/TPAR listing, not the full registered medicines universe."
